Titulo-	Autor-	Genero-	Editorial
Berta isla-	Javier Marias-	Literatura-	?
Confin del mundo-	Valerio Massimo-	Literatura-	?
Hijo del sueño-	Valerio Massimo-	Literatura-	?
La decadencia de neron gold-	Salman Rushdie-	Literatura-	?
Nieve-	Orhan Pamuk-	Literatura-	?
Divina Comedia-	Dante de Aligiri-	Literatura-	?
Bellas esperanzas-	Michelle Ragon-	Literatura-	?
Rayuela-	Julio Cortazar-	Literatura-	?
El tunel -	Ernesto Sabato-	Literatura-	?
Don Quijote de la mancha-	Miguel de cervantes-	Literatura-	Edicion conmemorativa del cuarto centenario
Inventario -	Mario benedeti-	Literatura-	?
Vientos de Cuaresma-	Leonardo Padura-	Literatura-	?
El imperio de lo efimero-	Guilles Lipovetsky-	Literatura-	?
Neblina de ayer-	Leonardo Padura-	Literatura-	?
Aquello estaba deseando ocurrir-	Leonardo Padura-	Literatura-	?
La novela de mi vida-	Leonardo Padura-	Literatura-	?
Sin tregua-	German Castro Caisedo-	Literatura-	?
Diario de irak-	Mario Vargas llosa-	Literatura-	?
El ultimo encuentro-	Sándor Márai-	Literatura-	?
La resistencia-	Ernesto Sabato-	Literatura-	?
Cuentos chinos-	Andres Hoppenheimer-	Sociales-	?
Curso de literatura europea-	Vladimir Nabokov-	Literatura-	?
Curso de literatura rusa-	Vladimir Nabokov-	Literatura-	?
Primer amor-	Ivan Turgueniev-	Literatura-	?
Aura-	Carlos Fuentes-	Literatura-	?
La llamada de la tribu -	Mario Vargas Llosa-	Literatura-	?
Viaje a portugal-	Jose Saramago-	Literatura-	?
Mascaras-	Leonardo Padura-	Literatura-	?
Manifiesto Mexicano-	Denise Dresser-	Literatura-	?
Imperio-	Antonio Negri-	Literatura-	?
Invitados de la princesa-	Fernando Sabater-	Literatura-	?
La fiesta del chivo-	Mario Vargas llosa-	Literatura-	?
La cartuja de parma-	Stendhal-	Literatura-	?
El hueco-	German Castro Caisedo-	Literatura-	?
Memorias secretas del revolcón -	Mauricio Vargas-	Historia-	?
Condores no entierran todos los dias -	Gustavo Alvarez Gardiazabal-	Literatura-	?
Pa que se acabe la vaina -	William Ospina-	Literatura-	?
La verdad sobre le caso Harry Quebert-	Joel Dicker-	Literatura-	?
El don de la palabre-	Antonio Gala-	Literatura-	?
El legado de los espias-	John Legarre-	Literatura-	?
El sastre de panama-	John Legarre-	Literatura-	?
La tia julia y el escribidor-	Mario Vargas Llosa-	Literatura-	?
